# ISIN;MNEMO;long_name
PTALT0AE0002	ALTR	ALTRI SGPS
PTBCP0AM0015	BCP	B.COM.PORTUGUES
PTCOR0AE0006	COR	CORTICEIRA AMORIM
PTCTT0AM0001	CTT	CTT CORREIOS PORT
PTEDP0AM0009	EDP	EDP
ES0127797019	EDPR	EDP RENOVAVEIS
PTGAL0AM0009	GALP	GALP ENERGIA-NOM
PTIBS0AM0008	IBS	IBERSOL, SGPS
PTJMT0AE0001	JMT	J.MARTINS, SGPS
PTMEN0AE0005	EGL	MOTA ENGIL
PTZON0AM0006	NOS	NOS, SGPS
PTPTC0AM0009	PHR	PHAROL
PTFRV0AE0004	RAM	RAMADA
PTREL0AM0008	RENE	REN
PTSEM0AM0004	SEM	SEMAPA
PTSON0AM0001	SON	SONAE
PTSNP0AE0008	SONC	SONAE CAPITAL
PTPTI0AM0006	NVG	THE NAVIGATOR COMP
